"NetAppName","VolumeName","QuotaGB","UsedQuotaGB","UsedQuotaPercent"
"APLNAF001_WESTUS2","hana-backup-lhn","25600","17637","69"
"APLNAF001_WESTUS2","hana-data-lhn-vol01","10240","7993","78"
"APLNAF001_WESTUS2","hana-data-lhn-vol03","5120","14","0"
"APLNAF001_WESTUS2","hana-log-lhn-vol01","600","472","79"
"APLNAF001_WESTUS2","hana-log-lhn-vol02","200","4","2"
"APLNAF001_WESTUS2","lhb-sapmnt","100","26","27"
"APLNAF001_WESTUS2","hana-shared-lhn-vol01","200","31","16"
"APPNAF001","hana-backup-phn","60720","34348","57"
"APPNAF001","hana-data-phn-vol01","20480","15910","78"
"APPNAF001","hana-log-phn-vol01","5124","4217","82"
"APPNAF001","phb-sapmnt","500","26","5"
"APPNAF001","hana-shared-phn-vol01","1024","539","53"
"APPNAF001_WESTUS2","hana-backup-phn-dr","500","21","4"
"APPNAF001_WESTUS2","hana-data-phn-dr-vol01","10240","9653","94"
"APPNAF001_WESTUS2","hana-log-phn-dr-vol01","4096","2097","51"
"APPNAF001_WESTUS2","phb-dr-sapmnt","500","26","5"
"APPNAF001_WESTUS2","hana-shared-phn-dr-vol01","500","18","4"
"anf_prodsub_p_hld_eastus","vl-p-hld-01","23552","16404","70"
"anf_prodsub_p_hld_eastus","vl-p-hld-swire","1024","337","33"
"anf_prodsub_p_hld_westus_dr","vl-p-hld-01-dr","23552","16168","69"
"anf_prodsub_p_sap_eastus","installinstall","3840","43","1"
"anf_prodsub_p_sap_eastus","vl-p-trn-01","128","0","0"
"anf_prodsub_p_sap_eastus","vl-q-qnp-01","128","3","3"
"anf_nonpsub_d_sap_s4h_westus2","DNR-CI-sap-sapinst","5120","0","0"
"anf_nonpsub_d_sap_s4h_westus2","DNR-data-backup","3584","2495","70"
"anf_nonpsub_d_sap_s4h_westus2","DNR-sapinst","5120","0","0"
"anf_nonpsub_d_sap_s4h_westus2","DNR-saptrans","100","0","0"
"anf_nonpsub_d_sap_s4h_westus2","DNR-shared","1024","24","2"
"anf_nonpsub_d_sap_s4h_westus2","installinstall","1024","0","0"
"anf_nonpsub_d_sap_s4h_westus2","vl-d-dnr-01","128","0","0"
"anf_nonpsub_d_sap_s4h_westus2","vl-d-trn-02","128","0","0"
"anf_nonpsub_d_sap_s4h_westus2","DNR-data-mnt00001","10000","0","0"
"anf_nonpsub_d_sap_s4h_westus2","DNR-migration","8000","179","2"
"anf_nonpsub_m_hld_westus2","vl-m-hld-01","4096","25","1"
"anf_nonpsub_m_sap_westus2","installinstall","3840","57","2"
"anf_nonpsub_m_sap_westus2","vl-m-dnp-01","128","1","1"
"anf_nonpsub_m_sap_westus2","vl-m-grc-01","128","0","0"
"anf_nonpsub_m_sap_westus2","vl-m-trn-01","128","0","0"
"anf_nonpsub_q_sap_mwb_westus2","mwb-backups","2048","734","36"
"anf_nonpsub_q_sap_mwb_westus2","mwb-data","500","58","12"
"anf_nonpsub_q_sap_mwb_westus2","mwb-log","300","6","2"
"anf_nonpsub_q_sap_mwb_westus2","mwb-shared","200","113","57"
"anf_nonpsub_q_sap_s4h_westus2","hana-data","10240","7122","70"
"anf_nonpsub_q_sap_s4h_westus2","hana-databackup","23064","11642","50"
"anf_nonpsub_q_sap_s4h_westus2","hana-log","5120","15","0"
"anf_nonpsub_q_sap_s4h_westus2","hana-logbackup","1024","152","15"
"anf_nonpsub_q_sap_s4h_westus2","hana-sapshared","1024","0","0"
"anf_nonpsub_q_sap_s4h_westus2","qhn-hana-shared","1024","27","3"
"anf_nonpsub_q_sap_s4h_westus2","sapmnt","500","19","4"
"anf_nonpsub_q_sap_s4h_westus2","sapmntSYS","500","8","2"
"anf_nonpsub_q_sap_s4h_westus2","vl-q-qhb-01","128","0","0"
"anf_nonpsub_q_sap_s4h_westus2","vl-q-qlt-01","128","0","0"
"anf_nonpsub_q_sap_s4h_westus2","vl-q-qnr-01","128","6","5"
"anf_nonpsub_q_sap_s4h_westus2","vl-q-trn-02","128","1","1"
"anf_nonpsub_q_sap_s4h_westus2","QNR-data-backup","81920","62183","76"
"anf_nonpsub_q_sap_s4h_westus2","QNR-data-mnt00001","28672","20694","72"
"anf_nonpsub_q_sap_s4h_westus2","QNR-data-mnt00002","28672","21800","76"
"anf_nonpsub_q_sap_s4h_westus2","QNR-data-mnt00003","28672","17996","63"
"anf_nonpsub_q_sap_s4h_westus2","QNR-data-mnt00004","28672","21862","76"
"anf_nonpsub_q_sap_s4h_westus2","QNR-log-backup","512","0","0"
"anf_nonpsub_q_sap_s4h_westus2","QNR-migration","12288","9032","74"
"anf_nonpsub_q_sap_s4h_westus2","QNR-shared","5120","685","13"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-01","100","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-02","100","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-03","100","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-04","100","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-05","500","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-06","900","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-07","500","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-08","1024","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-09","4096","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-10","800","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-11","1024","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-12","3072","0","0"
"anf_nonpsub_q_sap_vrt_westus2","vl-q-vrt-13","3584","0","0"
"anf_nonpsub_q_sap_westus2","installinstall","3840","48","1"
"anf_nonpsub_q_sap_westus2","vl-q-qnp-01","128","1","1"
"anf_nonpsub_q_sap_westus2","vl-q-trn-01","128","0","0"
"anf_nonpsub_t_sap_s4h_westus2","installinstall","1024","43","4"
"anf_nonpsub_t_sap_s4h_westus2","tnr-data-backup","81920","201","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-data-mnt00001","25600","215","1"
"anf_nonpsub_t_sap_s4h_westus2","tnr-data-mnt00002","25600","3","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-data-mnt00003","25600","3","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-data-mnt00004","25600","2","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-log-backup","512","0","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-migration","12288","0","0"
"anf_nonpsub_t_sap_s4h_westus2","tnr-shared","5120","50","1"
"anf_nonpsub_t_sap_s4h_westus2","vl-q-trn-02","128","0","0"
"anf_nonpsub_t_sap_s4h_westus2","vl-t-tnr-01","128","1","1"
"anf_nonpsub_t_sap_thb_westus2","THB-sapmnt","500","20","4"
"anf_nonpsub_t_sap_thb_westus2","THB-sys","500","0","0"
"anf_nonpsub_t_sap_thb_westus2","THN-data-backup","61440","8501","14"
"anf_nonpsub_t_sap_thb_westus2","THN-data-mnt00001","10240","6273","61"
"anf_nonpsub_t_sap_thb_westus2","THN-log-backup","61440","0","0"
"anf_nonpsub_t_sap_thb_westus2","THN-log-mnt00001","5222","33","1"
"anf_nonpsub_t_sap_thb_westus2","THN-sap","1024","0","0"
"anf_nonpsub_t_sap_thb_westus2","THN-shared","2048","1647","80"
"anf_sandsub_s_s4h_westus2","vl-s-s4h-02","128","0","0"
"anf_sandsub_s_s4h_westus2","vl-s-snr-01","128","2","2"
