"ResourceGroupName","ApplicationNameTag","Subscription"
"CONASecurityPLaybooks",,"CONA POC"
"DefaultResourceGroup-EUS2","CONA Azure Infrastructure","CONA POC"
"vending-api",,"CONA POC"
"AzureBackupRG_eastus2_1","","CONA POC"
"CONA_Demand_Forecast",,"CONA POC"
"CONAPoC",,"CONA POC"
"CONAPocV2RG",,"CONA POC"
"conava",,"CONA POC"
"CONATest",,"CONA POC"
"DefaultResourceGroup-EJP","CONA Azure Infrastructure","CONA POC"
"databricks-rg-conapoc-databricks-dmzo6rqfspeom",,"CONA POC"
"DefaultResourceGroup-EUS","CONA Azure Infrastructure","CONA POC"
"NetworkWatcherRG","CONA Azure Infrastructure","CONA POC"
"rg_Infrastructure_EastUS2_POC",,"CONA POC"
"rg_PaloAlto_PoC",,"CONA POC"
"rg_Sandbox_HADOOP_POC",,"CONA POC"
"rg_PaloAltoPoC_JapanEast",,"CONA POC"
"securitydata",,"CONA POC"
"skuopt",,"CONA POC"
"SKUOptimization",,"CONA POC"
"vendprime","Vendprime","CONA POC"
"cloud-shell-storage-southcentralus",,"CONA POC"
"databricks-rg-conapocv2-databricks-e6eqxnxzdjbxw",,"CONA POC"
"IR",,"CONA POC"
"databricks-rg-RC_Test_Workspace-wkypbdpmwzoie",,"CONA POC"
"conaosimage",,"CONA POC"
"test",,"CONA POC"
"cloud-shell-storage-southcentralus",,"Base Infrastructure"
"cloud-shell-storage-centralindia",,"Base Infrastructure"
"ResourceMoverRG-eastus-westus2-eus2",,"Base Infrastructure"
"sapmon-rg-436d9ca0b101eb","Production Hana","Base Infrastructure"
"sapmon-rg-a40a179983f27e","Maintenance Hana","Base Infrastructure"
"rg_basesub_p_asr_eastus",,"Base Infrastructure"
"sapmon-rg-a4a528bb37a776","Hana","Base Infrastructure"
"rg_baseinfrasub_alerts",,"Base Infrastructure"
"rg_basesub_p_cel_eastus",,"Base Infrastructure"
"rg_baseinfra_alerts",,"Base Infrastructure"
"abc_group",,"Base Infrastructure"
"rg_basesub_backuptest",,"Base Infrastructure"
"LogAnalyticsDefaultResources",,"Base Infrastructure"
"test_group",,"Base Infrastructure"
"NetworkWatcherRG","CONA Azure Infrastructure","Base Infrastructure"
"cloud-shell-storage-westus",,"Base Infrastructure"
"sapmon-rg-af4e51087edeea","Performance Hana","Base Infrastructure"
"awlpcl001_group",,"Base Infrastructure"
"asasasasasas_group",,"Base Infrastructure"
"rg_in_maintenance",,"Base Infrastructure"
"DefaultResourceGroup-EUS2","CONA Azure Infrastructure","Base Infrastructure"
"rg_in_api_maintenance",,"Base Infrastructure"
"rg_in_api_performance",,"Base Infrastructure"
"rg_maintenance",,"Base Infrastructure"
"rg_in_api_production",,"Base Infrastructure"
"rg_vp_maintenance",,"Base Infrastructure"
"rg_archive_performance","Archive","Base Infrastructure"
"rg_vp_production",,"Base Infrastructure"
"databricks-rg-APMBRN006-fvdspdbymo3yc","","Base Infrastructure"
"rg_api_maintenance",,"Base Infrastructure"
"DefaultResourceGroup-WUS","CONA Azure Infrastructure","Base Infrastructure"
"rg_Infrastructure_WESTUS2","CONA Azure Infrastructure","Base Infrastructure"
"DefaultResourceGroup-WUS2","CONA Azure Infrastructure","Base Infrastructure"
"rg_Performance_WestUS2",,"Base Infrastructure"
"rg_Production_WestUS2",,"Base Infrastructure"
"AzureBackupRG_westus2_1","","Base Infrastructure"
"rg_Firewall_WestUS2",,"Base Infrastructure"
"sapmon-rg-dcbc3952fa1232","Production Hana","Base Infrastructure"
"AzureBackupRG_eastus_1","","Base Infrastructure"
"AzureBackupRG_westus_1","","Base Infrastructure"
"ChicagoLevel3Group",,"Base Infrastructure"
"cloud-shell-storage-eastus",,"Base Infrastructure"
"ConaAzureTeamServices",,"Base Infrastructure"
"ConaPerformanceLoadGenerators",,"Base Infrastructure"
"databricks-rg-appbrz001-xe65wotjdvdeg",,"Base Infrastructure"
"DefaultResourceGroup-EUS","CONA Azure Infrastructure","Base Infrastructure"
"Level3AzureGroup",,"Base Infrastructure"
"rg_bi_nonProd_Shared","Business Intelligence","Base Infrastructure"
"rg_bi_Performance",,"Base Infrastructure"
"rg_bi_Maintenance","Business Intelligence","Base Infrastructure"
"rg_bi_Prod_Shared","Business Intelligence","Base Infrastructure"
"rg_bi_Production","Business Intelligence","Base Infrastructure"
"rg_bi_Production_DR","Business Intelligence","Base Infrastructure"
"rg_bi_Prod_Shared_DR","Business Intelligence","Base Infrastructure"
"rg_Development",,"Base Infrastructure"
"rg_DryRun",,"Base Infrastructure"
"rg_Development_EastUS2",,"Base Infrastructure"
"rg_firewall_eastus","CONA Azure Infrastructure","Base Infrastructure"
"rg_east_us2_it_infra",,"Base Infrastructure"
"rg_Infrastructure","CONA Azure Infrastructure","Base Infrastructure"
"rg_IT_Tools",,"Base Infrastructure"
"rg_Infrastructure_WestUS","CONA Azure Infrastructure","Base Infrastructure"
"rg_Maintenance_EastUS",,"Base Infrastructure"
"rg_Maintenance_EastUS2",,"Base Infrastructure"
"rg_PaloAlto_FW1_WestUS","PaloAlto","Base Infrastructure"
"rg_noneProdShared",,"Base Infrastructure"
"rg_Performance",,"Base Infrastructure"
"rg_PaloAlto_FW1_EastUS","PaloAlto","Base Infrastructure"
"rg_PaloAlto_FW2_EastUS",,"Base Infrastructure"
"rg_Production_DR_WestUS",,"Base Infrastructure"
"rg_PreProd",,"Base Infrastructure"
"rg_Production",,"Base Infrastructure"
"dashboards",,"Base Infrastructure"
"rg_External_DNS","CONA Azure Infrastructure","Base Infrastructure"
"rg_rs_maintenance",,"Base Infrastructure"
"rg_rs_production",,"Base Infrastructure"
"rg_in_performance",,"Base Infrastructure"
"rg_in_production",,"Base Infrastructure"
"rg_archive_production","Archive","Base Infrastructure"
"rg_celonis_production",,"Base Infrastructure"
"rg_Production-asr",,"Base Infrastructure"
"rg_IoT_Non-Prod_infrastructure","","IoT_Non-Prod"
"NetworkWatcherRG","CONA Azure Infrastructure","IoT_Non-Prod"
"rg_IoT_Non-Prod_picksmart_maintenance","PickSmart","IoT_Non-Prod"
"AzureBackupRG_eastus_1","","IoT_Non-Prod"
"DefaultResourceGroup-EUS","CONA Azure Infrastructure","IoT_Non-Prod"
"rg_iotnsub_inf_eastus","CONA Azure Infrastructure","IoT_Non-Prod"
"rg_iotnsub_m_ato_eastus","CONA Automation","IoT_Non-Prod"
"rg_iotnsub_l_pst_westus2","PickSmart","IoT_Non-Prod"
"rg_iotnsub_inf_westus2","CONA Azure Infrastructure","IoT_Non-Prod"
"AzureBackupRG_westus2_1","","IoT_Non-Prod"
"Built-In-Identity-RG",,"IoT_Non-Prod"
