"vNet Name","vNet Location","vNet Address","vNet Resource Group Name","vNet Subnet"
"CONAPocV2RG-vnet","eastus","10.0.0.0/24","CONAPocV2RG","default"
"CONAPocV2HDIVNET","eastus2","172.16.0.128/26,172.16.0.208/28,172.16.152.0/22","CONAPocV2RG","GatewaySubnet,HDISubnet,SN_Databricks_Cluster2_Private,SN_Databricks_Cluster2_Public,SN_Databricks_Cluster1_Private,SN_Databricks_Cluster1_Public"
"workers-vnet","eastus2","10.139.0.0/16","databricks-rg-conapoc-databricks-dmzo6rqfspeom","public-subnet,private-subnet"
"vNET_WestUS","westus","173.249.80.0/23","rg_Infrastructure_WestUS","GatewaySubnet,SN_firewall_FW1_WestUS_trusted,SN_firewall_FW1_WestUS_HA,SN_firewall_FW1_WestUS_Servers,SN_firewall_FW1_WestUS_untrusted,SN_Firewall_FW1_WestUS_MGMT,SN_PROD_DR,sn_prod_dr_rds,SN_PROD_DR_IIS_NETWORK"
"workers-vnet","eastus","10.139.0.0/16","databricks-rg-appbrz001-xe65wotjdvdeg","public-subnet,private-subnet"
"vNET_EastUS","eastus","140.82.64.0/19,172.27.0.0/16","rg_infrastructure","SN_firewall_EASTUS_DMZ,sn_firewall_eastus_ha,SN_firewall_EASTUS_trusted,GatewaySubnet,SN_NonProd_Apps,SN_HANA_VM_ANF,SN_HANA_VM,SN_HANA_VM_Storage,SN_ASE,SN_Databricks_APMBRN004_Priv,SN_Databricks_APMBRN004_Public,SN_Databricks_APLBRN004_Priv,SN_Databricks_APLBRN004_Public,SN_Databricks_APPBRN004_Priv,SN_Databricks_APPBRN004_Public,SN_Databricks_APMBRN005_Priv,SN_Databricks_APMBRN005_Public,SN_Databricks_APLBRN005_Public,SN_Databricks_APPBRN005_Priv,SN_Databricks_APPBRN005_Public,SN_Databricks_APMBRN006_Priv,SN_Databricks_APMBRN006_Public,SN_Databricks_APPBRN006_Priv,SN_Databricks_APPBRN006_Public,SN_firewall_EASTUS_untrusted,SN_Databricks_APPBRN007_Priv,SN_Databricks_APPBRN007_Public,SN_Databricks_Public,SN_Databricks_Private,SN_Databricks_U_Private,SN_Databricks_U_Public,SN_Cona_BI_PaaS_Performance_2,SN_Cona_BI_PaaS_Performance_1,SN_EastUS_Firewall_Test,SN_IT_Tools,SN_PreProd,SN_Performance,SN_Production,SN_Dev,SN_ProdShared,SN_Cona_BI_PaaS_Production,SN_DryRun,SN_IT_Infra,SN_QA,SN_Cona_BI_PaaS_Maintenance,SN_noneProdShared,SN_HANA_VM_Client,SN_firewall_EASTUS_MGMT,SN_Databricks_APLBRN005_Priv,SN_Maintenance,SN_ApplicationGateway"
"vNET_EastUS_Public_NO_peering","eastus","172.20.0.0/14,172.30.0.0/16","rg_Infrastructure","SN_Kubernetes_Performance,SN_Kubernetes_Maintenance,SN_Kubernetes_Production,SN_Kubernetes_Maintenance_02"
"vNET_Infrastructure","eastus","172.28.176.0/20","rg_Infrastructure","SN_RDP,SN_IT_Tools,SN_Firewall_EASTUS,netapptest,SN_IT_Infra"
"rg_in_performance-vnet","eastus","10.0.1.0/24","rg_in_performance","default"
"rg_IT_Tools-vnet","eastus","10.1.0.0/16","rg_IT_Tools","default"
"vNET_Performance","eastus","172.28.16.0/20","rg_Performance","SN_PerformanceLoad,SN_Performance"
"vNET_WestUS2","westus2","173.249.82.0/23","rg_Infrastructure_WESTUS2","SN_HANA_Storage,GatewaySubnet,SN_HANA_ANF,SN_HANA_IntNodeCommunication,SN_PROD_DR"
"vNet_IoT_NonProd2_east","eastus","140.82.100.128/25","rg_IoT_Non-Prod_infrastructure","snet_IoT_EastUS,GatewaySubnet,snet_IoT_Applicationgateway"
"vNet_IoT_NonProd_eastus","eastus","140.82.100.0/25","rg_IoT_Non-Prod_infrastructure","snet_IoT_Public_eastus,snet_IoT_Private_eastus"
